step,val_loss,epoch,train_loss
49,1.3364357948303223,0,
49,,0,1.4813565015792847
99,1.2178820371627808,1,
99,,1,1.291369915008545
149,1.1947680711746216,2,
149,,2,1.2330536842346191
199,1.140592098236084,3,
199,,3,1.1965690851211548
249,1.1110382080078125,4,
249,,4,1.1654064655303955
299,1.105667233467102,5,
299,,5,1.1362943649291992
349,1.0468863248825073,6,
349,,6,1.1317824125289917
399,1.055773377418518,7,
399,,7,1.089341640472412
449,1.0265443325042725,8,
449,,8,1.0606324672698975
499,1.0332506895065308,9,
499,,9,1.1049119234085083
549,1.0250855684280396,10,
549,,10,1.048081398010254
599,0.9947301149368286,11,
599,,11,1.0680958032608032
649,0.9855746626853943,12,
649,,12,1.0447641611099243
699,0.9471156001091003,13,
699,,13,1.0584022998809814
749,0.9707890152931213,14,
749,,14,0.997544527053833
799,0.9562004208564758,15,
799,,15,1.0114691257476807
849,1.0146980285644531,16,
849,,16,1.0412933826446533
899,0.9249324202537537,17,
899,,17,1.0134891271591187
949,0.9109132885932922,18,
949,,18,1.0127216577529907
999,0.9031456708908081,19,
999,,19,0.9953122735023499
1049,0.9279954433441162,20,
1049,,20,1.0169999599456787
1099,0.928248405456543,21,
1099,,21,1.0035556554794312
1149,0.9241856932640076,22,
1149,,22,0.9998852610588074
1199,0.8877202272415161,23,
1199,,23,1.0090076923370361
1249,0.8885520696640015,24,
1249,,24,0.9856670498847961
1299,0.857562780380249,25,
1299,,25,0.9981984496116638
1349,0.8720616698265076,26,
1349,,26,0.96953946352005
1399,0.847370982170105,27,
1399,,27,0.9506780505180359
1449,0.8483781218528748,28,
1449,,28,0.9635255336761475
1499,0.8979189991950989,29,
1499,,29,0.9833676815032959
