step,val_loss,epoch,train_loss
49,0.8533982038497925,0,
49,,0,1.268691897392273
99,0.8354198932647705,1,
99,,1,1.0652060508728027
149,0.7861579060554504,2,
149,,2,0.9916970729827881
199,0.7951277494430542,3,
199,,3,0.9754970073699951
249,0.7777585387229919,4,
249,,4,0.9832296967506409
299,0.7244499921798706,5,
299,,5,0.9356770515441895
349,0.7850876450538635,6,
349,,6,0.9229517579078674
399,0.7808018326759338,7,
399,,7,0.9312810301780701
449,0.7090351581573486,8,
449,,8,0.9227226972579956
499,0.7423503398895264,9,
499,,9,0.8809335231781006
549,0.7099573612213135,10,
549,,10,0.9005208015441895
599,0.7387442588806152,11,
599,,11,0.9556317925453186
649,0.7005049586296082,12,
649,,12,0.9156029224395752
699,0.7391632795333862,13,
699,,13,0.8768885731697083
749,0.7136902213096619,14,
749,,14,0.8415412306785583
799,0.7326896786689758,15,
799,,15,0.9697038531303406
849,0.7867310047149658,16,
849,,16,0.874031126499176
899,0.8086249232292175,17,
899,,17,0.8660010695457458
949,0.7533243298530579,18,
949,,18,0.8885882496833801
999,0.7937498092651367,19,
999,,19,0.8329629302024841
1049,0.7664334774017334,20,
1049,,20,0.8563844561576843
1099,0.8079415559768677,21,
1099,,21,0.8029153347015381
1149,0.7624993324279785,22,
1149,,22,0.8974175453186035
1199,0.7299502491950989,23,
1199,,23,0.9160478115081787
1249,0.7919471859931946,24,
1249,,24,0.8176023364067078
1299,0.7215393781661987,25,
1299,,25,0.8345206379890442
1349,0.8125900626182556,26,
1349,,26,0.8331171274185181
1399,0.9317139387130737,27,
1399,,27,0.821056067943573
1449,0.8211686015129089,28,
1449,,28,0.9379797577857971
1499,0.804969847202301,29,
1499,,29,0.7813303470611572
