step,val_loss,epoch,train_loss
49,1.3097169399261475,0,
49,,0,2.6819024085998535
99,1.145026683807373,1,
99,,1,1.467484474182129
149,1.1747407913208008,2,
149,,2,1.3352606296539307
199,0.8908736109733582,3,
199,,3,1.2873681783676147
249,0.9187718629837036,4,
249,,4,1.1640205383300781
299,1.2436236143112183,5,
299,,5,1.2460415363311768
349,0.7695558667182922,6,
349,,6,1.2887109518051147
399,1.163331389427185,7,
399,,7,1.1656361818313599
449,1.2891849279403687,8,
449,,8,1.1924833059310913
499,0.8086082339286804,9,
499,,9,1.0969313383102417
549,0.8417168855667114,10,
549,,10,1.1046184301376343
599,0.9583945274353027,11,
599,,11,1.0387699604034424
649,0.8171845078468323,12,
649,,12,1.0893949270248413
699,1.5812032222747803,13,
699,,13,1.1768454313278198
749,1.2619956731796265,14,
749,,14,0.9645680785179138
799,0.7371325492858887,15,
799,,15,1.0408380031585693
849,1.426218032836914,16,
849,,16,1.0158401727676392
899,1.0804659128189087,17,
899,,17,1.0174636840820312
949,1.030117392539978,18,
949,,18,1.1444728374481201
999,1.243781566619873,19,
999,,19,0.9729653000831604
1049,0.8880670070648193,20,
1049,,20,1.0236351490020752
1099,1.0517653226852417,21,
1099,,21,0.989571213722229
1149,1.1039633750915527,22,
1149,,22,1.0435235500335693
1199,1.2502541542053223,23,
1199,,23,0.937119722366333
1249,1.237706184387207,24,
1249,,24,1.0826284885406494
1299,0.9989529848098755,25,
1299,,25,0.9949275255203247
1349,1.4147616624832153,26,
1349,,26,1.050538420677185
1399,0.9249310493469238,27,
1399,,27,1.0085155963897705
1449,1.0161916017532349,28,
1449,,28,0.9344236254692078
1499,1.0106652975082397,29,
1499,,29,0.8885251879692078
