step,val_loss,epoch,train_loss
49,0.4769487679004669,0,
49,,0,1.5419868230819702
99,-0.09154609590768814,1,
99,,1,1.121466875076294
149,-0.10373505204916,2,
149,,2,1.0616928339004517
199,-0.18447764217853546,3,
199,,3,0.9912404417991638
249,-0.2330765277147293,4,
249,,4,0.9752584099769592
299,-0.022478502243757248,5,
299,,5,0.9841474294662476
349,-0.27063068747520447,6,
349,,6,0.9282550811767578
399,0.138214573264122,7,
399,,7,1.0654162168502808
449,-0.19251443445682526,8,
449,,8,0.9553231000900269
499,-0.25277993083000183,9,
499,,9,0.9728131890296936
549,-0.3966333568096161,10,
549,,10,0.9400904178619385
599,-0.32573795318603516,11,
599,,11,0.8833457231521606
649,-0.41502076387405396,12,
649,,12,0.8359077572822571
699,-0.34329771995544434,13,
699,,13,1.0281097888946533
749,-0.42161884903907776,14,
749,,14,0.8735449314117432
799,-0.4063583314418793,15,
799,,15,0.9296291470527649
849,-0.3210475444793701,16,
849,,16,0.9294219017028809
899,-0.09270530194044113,17,
899,,17,0.9571096301078796
949,-0.359456330537796,18,
949,,18,0.8773321509361267
999,-0.18340960144996643,19,
999,,19,0.8855765461921692
1049,-0.08374587446451187,20,
1049,,20,0.9447264075279236
1099,0.060406241565942764,21,
1099,,21,0.8738247752189636
1149,-0.28029149770736694,22,
1149,,22,0.931517481803894
1199,-0.08337248861789703,23,
1199,,23,0.9725211262702942
1249,-0.2457723766565323,24,
1249,,24,0.8946353793144226
1299,-0.45421579480171204,25,
1299,,25,0.853097140789032
1349,-0.35588011145591736,26,
1349,,26,0.8369171023368835
1399,-0.3020247519016266,27,
1399,,27,0.8076198101043701
1449,-0.09207423031330109,28,
1449,,28,0.965686023235321
1499,-0.43995434045791626,29,
1499,,29,0.9447099566459656
