step,val_loss,epoch,train_loss
49,1.1692026853561401,0,
49,,0,1.2937055826187134
99,1.0776176452636719,1,
99,,1,1.140446662902832
149,1.0554523468017578,2,
149,,2,1.0951021909713745
199,0.9668545722961426,3,
199,,3,1.0485645532608032
249,0.947951078414917,4,
249,,4,0.9967930316925049
299,0.9305512309074402,5,
299,,5,1.0292079448699951
349,0.9147796630859375,6,
349,,6,1.023130178451538
399,0.8572990298271179,7,
399,,7,0.9779642224311829
449,0.854264497756958,8,
449,,8,1.000718355178833
499,0.7845074534416199,9,
499,,9,0.9715026617050171
549,0.8841365575790405,10,
549,,10,0.986745297908783
599,0.818778932094574,11,
599,,11,0.9018028378486633
649,0.77215176820755,12,
649,,12,0.9163573980331421
699,0.7966263890266418,13,
699,,13,0.9286513328552246
749,0.8072388172149658,14,
749,,14,0.9569867849349976
799,0.7830744981765747,15,
799,,15,0.9491141438484192
849,0.795050323009491,16,
849,,16,0.910564124584198
899,0.7759197950363159,17,
899,,17,0.8893463015556335
949,0.8416386842727661,18,
949,,18,0.9393844604492188
999,0.7444159388542175,19,
999,,19,0.8979008197784424
1049,0.7511979937553406,20,
1049,,20,0.9180924296379089
1099,0.7928635478019714,21,
1099,,21,0.8987627625465393
1149,0.7670205235481262,22,
1149,,22,0.9147387146949768
1199,0.8094741106033325,23,
1199,,23,0.9237596392631531
1249,0.7337118983268738,24,
1249,,24,0.8820722699165344
1299,0.7453060746192932,25,
1299,,25,0.894216001033783
1349,0.7435262799263,26,
1349,,26,0.9114206433296204
1399,0.7538377642631531,27,
1399,,27,0.91426682472229
1449,0.7108787298202515,28,
1449,,28,0.888251781463623
1499,0.7406772971153259,29,
1499,,29,0.9490151405334473
