step,val_loss,epoch,train_loss
49,1.1723394393920898,0,
49,,0,1.5836786031723022
99,1.1207424402236938,1,
99,,1,1.4296330213546753
149,1.0118998289108276,2,
149,,2,1.3457716703414917
199,1.0456647872924805,3,
199,,3,1.2757940292358398
249,0.9702786207199097,4,
249,,4,1.2288289070129395
299,0.9790678024291992,5,
299,,5,1.1884351968765259
349,0.9449103474617004,6,
349,,6,1.187231183052063
399,0.9558958411216736,7,
399,,7,1.1929590702056885
449,0.95464688539505,8,
449,,8,1.1373968124389648
499,0.9355011582374573,9,
499,,9,1.1493029594421387
549,0.9305292367935181,10,
549,,10,1.144543170928955
599,0.9218433499336243,11,
599,,11,1.126672387123108
649,0.8957456946372986,12,
649,,12,1.1363872289657593
699,0.9012308120727539,13,
699,,13,1.1404932737350464
749,0.9117559194564819,14,
749,,14,1.0813946723937988
799,0.8827767968177795,15,
799,,15,1.0886646509170532
849,0.9046639800071716,16,
849,,16,1.1228511333465576
899,0.9022707343101501,17,
899,,17,1.0641305446624756
949,0.8908191323280334,18,
949,,18,1.1010819673538208
999,0.9093367457389832,19,
999,,19,1.0591039657592773
1049,0.8393442034721375,20,
1049,,20,1.0884095430374146
1099,0.8592492341995239,21,
1099,,21,1.083378553390503
1149,0.860285758972168,22,
1149,,22,1.057219386100769
1199,0.8852163553237915,23,
1199,,23,1.0729923248291016
1249,0.879033088684082,24,
1249,,24,1.049554467201233
1299,0.854528546333313,25,
1299,,25,1.0427829027175903
1349,0.8462176322937012,26,
1349,,26,1.0595183372497559
1399,0.8923745155334473,27,
1399,,27,1.0380640029907227
1449,0.8180224299430847,28,
1449,,28,1.0433459281921387
1499,0.8225094676017761,29,
1499,,29,1.010545253753662
