step,val_loss,epoch,train_loss
49,1.1139278411865234,0,
49,,0,1.2134926319122314
99,1.0008749961853027,1,
99,,1,1.0553518533706665
149,0.8960315585136414,2,
149,,2,1.0148706436157227
199,1.0219424962997437,3,
199,,3,0.9672361612319946
249,0.9150688052177429,4,
249,,4,0.9895502328872681
299,0.9154175519943237,5,
299,,5,0.9114530086517334
349,0.8391563296318054,6,
349,,6,0.9343539476394653
399,0.8659163117408752,7,
399,,7,0.9804694652557373
449,0.8743821382522583,8,
449,,8,0.9307090044021606
499,1.1310745477676392,9,
499,,9,0.9889727234840393
549,0.7673178315162659,10,
549,,10,0.9632960557937622
599,0.7608616352081299,11,
599,,11,0.8621047139167786
649,0.7099200487136841,12,
649,,12,0.8278310298919678
699,0.7777409553527832,13,
699,,13,0.8955286145210266
749,0.8981471657752991,14,
749,,14,0.8838154077529907
799,0.865778923034668,15,
799,,15,0.9547221660614014
849,0.8586748242378235,16,
849,,16,0.9368037581443787
899,1.0260484218597412,17,
899,,17,0.8828034400939941
949,0.7028254866600037,18,
949,,18,0.8789896368980408
999,0.9941993951797485,19,
999,,19,0.9036715030670166
1049,0.7538397312164307,20,
1049,,20,0.8911052942276001
1099,0.6880974173545837,21,
1099,,21,0.8014550805091858
1149,1.07676100730896,22,
1149,,22,0.9005467295646667
1199,0.7121084928512573,23,
1199,,23,0.9348564147949219
1249,0.6636004447937012,24,
1249,,24,0.7871869802474976
1299,0.6780713200569153,25,
1299,,25,0.7953112721443176
1349,1.610216736793518,26,
1349,,26,1.0101324319839478
1399,0.7670656442642212,27,
1399,,27,0.9424096941947937
1449,0.6883854866027832,28,
1449,,28,0.8234021067619324
1499,0.6911020874977112,29,
1499,,29,0.826195478439331
